OBJECTID,NAME,NBR,STREETADDR,CITY,ZIP,TYPE,GCSCORE,GCMETHOD,DAFID,POINT_X,POINT_Y,x,y
2446,HYATT ESCALA LODGE,,3551 N ESCALA CT,PARK CITY,84098,Convenience Grocery,100,AddressPoints.AddressGrid,R109168,452926.016513059,4503689.17833208,452926.0165,4503689.1783
2447,LOVELAND LIVING PLANET GIFT,,12033 S LONE PEAK PKWY,DRAPER,84020,Convenience Grocery,100,AddressPoints.AddressGrid,R109248,424292.163068982,4487203.25949573,424292.1631,4487203.2595
2448,WAL-MART,4068,1206 N CANYON CRK PKWY,SPANISH FORK,84660,Supermarket,100,AddressPoints.AddressGrid,R109251,445534.516123325,4441720.00868911,445534.5161,4441720.0087
2449,HOLLADAY HEALTH & NUTRITION,,7990 S 1300 E,SANDY,84094,Health Food,100,AddressPoints.AddressGrid,R109299,427713.44576711,4495415.30834252,427713.4458,4495415.3083
2450,PETERSEN FAMILY FARM,,11887 S 4000 W,RIVERTON,84096,Grocery Store,100,AddressPoints.AddressGrid,R109333,416508.636860337,4487626.82586164,416508.6369,4487626.8259
2451,99 CENTS PLUS,,3451 S 5600 W STE D,WEST VALLEY CITY,84120,Convenience Grocery,100,AddressPoints.AddressGrid,R109373,413525.761500579,4505665.50580511,413525.7615,4505665.5058
2452,MUSE GROCERY DBA PICK & RAIL,,101 W 200 N,HELPER,84526,Grocery Store,100,AddressPoints.AddressGrid,R109376,511683.97422096,4393742.56957219,511683.9742,4393742.5696
2453,TRADER JOES,351,6989 S 1300 E,MIDVALE,84047,Grocery Store,100,AddressPoints.AddressGrid,R109568,427760.676535463,4497323.00675951,427760.6765,4497323.0068
2454,ARBAT LLC,,3232 S 400 E,SALT LAKE CITY,84115,Specialty Grocery,100,AddressPoints.AddressGrid,R109768,425592.265669374,4505886.47758264,425592.2657,4505886.4776
2455,SHOPKO HOMETOWN,555,1145 US 191,MOAB,84532,Convenience Grocery,92.4300003051758,AddressPoints.AddressGrid,R110072,627405.997532486,4268550.00104819,627405.9975,4268550.001
2456,NEW EUROPEAN MARKET,,2851 S REDWOOD RD STE G,WEST VALLEY CITY,84119,Specialty Grocery,100,AddressPoints.AddressGrid,R110080,420722.950959172,4506924.48944475,420722.951,4506924.4894
2457,RANCHO MARKET,,4616 S 4000 W STE I & J,WEST VALLEY CITY,84120,Grocery Store,83.3499984741211,Centerlines.StatewideRoads,R110081,415317.010269916,4508791.19329949,415317.0103,4508791.1933
2458,LOGAN HOTELS LLC,,853 S MAIN ST,LOGAN,84321,Convenience Grocery,100,Centerlines.StatewideRoads,R110504,430533.206597005,4618612.07591825,430533.2066,4618612.0759
2459,FAMILY DOLLAR INC,31456,151 N MAIN ST,HUNTINGTON,84528,Convenience Grocery,100,Centerlines.StatewideRoads,R110883,503035.019142504,4353306.41779131,503035.0191,4353306.4178
2460,FAMILY DOLLAR INC,31452,75 S MAIN ST,LOA,84747,Convenience Grocery,100,AddressPoints.AddressGrid,R110940,443919.474443704,4250478.23520318,443919.4744,4250478.2352
2461,ANAYAS MARKET LOGAN,,2271 N MAIN ST,NORTH LOGAN,84341,Specialty Grocery,100,AddressPoints.AddressGrid,R110942,430626.710561869,4624987.58566779,430626.7106,4624987.5857
2462,FAMILY DOLLAR INC,31455,50 W 700 S,MILFORD,84751,Convenience Grocery,100,Centerlines.StatewideRoads,R111077,324227.13919782,4251180.79358843,324227.1392,4251180.7936
2463,QUANTUM NATURE CARE,,921 E EXECUTIVE PARK DR STE C,SALT LAKE CITY,84117,Health Food,100,AddressPoints.AddressGrid,R111219,426851.743544032,4500790.88676985,426851.7435,4500790.8868
2464,TIKI MARKET,,7098 S REDWOOD RD,WEST JORDAN,84084,Specialty Grocery,100,AddressPoints.AddressGrid,R111267,420471.420143601,4497271.28610972,420471.4201,4497271.2861
2465,VALLEY RENTAL & SALES,,1271 W 500 N,SALT LAKE CITY,84116,Convenience Grocery,100,AddressPoints.AddressGrid,R111505,421710.042692985,4514737.96907952,421710.0427,4514737.9691
2466,SONJHAE ASIAN MARKET,,1465 S STATE ST,SALT LAKE CITY,84115,Specialty Grocery,100,AddressPoints.AddressGrid,R111580,425050.70243473,4509995.44305241,425050.7024,4509995.4431
2467,KB EXPRESS,8,1661 W 200 S,PAROWAN,84761,Convenience Grocery,100,AddressPoints.AddressGrid,R111583,335978.422633087,4189505.58256452,335978.4226,4189505.5826
2468,CVS/PHARMACY,10578,11502 S 4000 W,SOUTH JORDAN,84095,Convenience Grocery,100,Centerlines.StatewideRoads,R111765,416464.280323975,4488415.73952521,416464.2803,4488415.7395
2469,CVS/PHARMACY,10618,5326 W 11000 N,HIGHLAND,84003,Convenience Grocery,100,Centerlines.StatewideRoads,R111766,433341.84938598,4476010.0709526,433341.8494,4476010.071
2470,IAC LATIN MARKET,,4735 W 3500 S STE C,WEST VALLEY CITY,84120,Convenience Grocery,100,AddressPoints.AddressGrid,R111990,415161.435751666,4505516.7967551,415161.4358,4505516.7968
2471,ORIENTAL FOOD MARKET OF UTAH,,667 S 700 E,SALT LAKE CITY,84102,Specialty Grocery,100,AddressPoints.AddressGrid,R112035,426505.041163993,4511890.18694325,426505.0412,4511890.1869
2472,VIVE JUICERY DOWNTOWN LLC,,219 E BROADWAY,SALT LAKE CITY,84111,Retail,92.4300003051758,Centerlines.StatewideRoads,R112044,425336.271256985,4512820.53255907,425336.2713,4512820.5326
2473,SHOPKO HOMETOWN,799,440 W MAIN ST,TREMONTON,84337,Convenience Grocery,100,AddressPoints.AddressGrid,R112150,402479.302707068,4618618.56702312,402479.3027,4618618.567
